rank,name,total_jobs,active_jobs,total_positions,avg_salary,industry
75,Caybec Resto 1 Ltd.,25,13,0,0,Accommodation and Food Service Activities
76,Cayman Spirits Company,24,17,0,0,Manufacturing
77,Deloitte & Touche T/a Deloitte,24,9,0,0,Professional, Scientfic and Technical Activities
78,Dreamland Investors Limited T/a Property Doctors,24,4,0,0,Administrative and Support Service Activities
79,Island Naturals Ltd (coffee Shop/restaurant),24,8,0,0,Accommodation and Food Service Activities
80,Kcb Construction Ltd,24,13,0,0,Construction
81,Harneys (harney Westwood & Riegels / Harneys Fiduciary (cayman) Limited),24,13,0,0,Professional, Scientfic and Technical Activities
82,Ricco Construction Ltd T/a Ricco Construction,23,9,0,0,Construction
83,Campbells,23,9,2,285000,Professional, Scientfic and Technical Activities
84,The Captain's Bakery (cayman) Limited,23,18,0,0,Manufacturing
85,Peppers Smokehouse Ltd.,23,10,0,0,Accommodation and Food Service Activities
86,Pro Stars Ltd T/a Prostars Construction,23,8,0,0,Construction
87,Carey Olsen Cayman Ltd,23,15,1,225000,Professional, Scientfic and Technical Activities
88,Warren Greene Ltd.,23,5,0,0,Construction
89,Dew Point Air Conditioning & Refrigeration Ltd.,23,10,0,0,Construction
90,Little Cayman Beach Resort,22,11,2,15350,Accommodation and Food Service Activities
91,Intertrust Holding (cayman) Limited,22,9,0,0,Financial and Insurance Activities
92,Morritts Properties Cayman Limited T/a Morritts Tortuga,22,15,0,0,Accommodation and Food Service Activities
93,Icoa Ltd,22,11,0,0,Accommodation and Food Service Activities
94,Itc International Ltd,22,7,0,0,Construction
95,The Wellness Centre Ltd,21,9,1,36000,Human Health and Social Work Activities
96,Eccleston Electric,21,11,0,0,Construction
97,Build Cayman Ltd,21,6,0,0,Construction
98,Harmonic Fund Services,21,15,0,0,Financial and Insurance Activities
99,Angella Thompson,21,12,0,0,Construction
100,Kjr Group Ltd. T/a Islandwide Distributors,21,6,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
101,Travers Thorp Alberga,20,13,0,0,Professional, Scientfic and Technical Activities
102,Ak Services Limited,20,5,0,0,Administrative and Support Service Activities
103,Reliable Industries Ltd,20,10,0,0,Administrative and Support Service Activities
104,Palm Sunset Ltd,20,11,12,25009,Accommodation and Food Service Activities
105,Dara Keogh & Greg O'driscoll T/a Grant Thornton,20,4,0,0,Professional, Scientfic and Technical Activities
106,Delrosa M. Myles T/a Dynasty Construction & Maintenance Services,19,12,0,0,Construction
107,Mn Ventures Ltd T/a Karoo,19,6,0,0,Accommodation and Food Service Activities
108,Cayman Aba Ltd.,19,7,0,0,Human Health and Social Work Activities
109,Seaitch Ltd,19,16,9,22470,Professional, Scientfic and Technical Activities
110,Nm Ventures Ltd T/a Abacus,19,6,0,0,Accommodation and Food Service Activities
111,Cayman Airways Ltd.,19,12,9,68974,Transportation and Storage
112,$mart Group Cayman Ltd T/a Buy $mart,19,13,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
113,Island Bites Ltd.,19,5,2,26910,Accommodation and Food Service Activities
114,Jacques Scott Group Ltd.,18,10,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
115,Kirkconnell Enterprises Ltd. T/a Kirk Home Centre,18,5,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
116,The Roman Catholic Archbishop Of The Cayman Islands,18,6,0,0,Other Service Activities
117,R&m Enterprise Holdings Ltd. T/a Indecor Finishing,18,10,0,0,Construction
118,Cl Flowers & Sons Ltd.,18,12,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
119,Our House Cayman Ltd.,18,9,0,0,Financial and Insurance Activities
120,Ccmn Ltd. T/a Loco,18,6,0,0,Accommodation and Food Service Activities
121,Massive Equipment Rentals & Sales Ltd.,18,6,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
122,Owc Hr & Immigration Services Ltd.,18,9,0,0,Professional, Scientfic and Technical Activities
123,Ana Elizabeth Salgado Madrid T/a Angel Construction Company,18,6,0,0,Construction
124,Water Authority-cayman,18,11,0,0,Water Supply; Sewerage, Waste Management and Remediation Activities
125,Richard's Parchment,17,5,1,21598,Administrative and Support Service Activities
126,Renee Myles T/a Helping Hand Solutions,17,4,0,0,Professional, Scientfic and Technical Activities
127,Reflections Discount Club Ltd,17,10,5,23400,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
128,The East End Group Ltd. T/a East End Labor Supply,17,8,0,0,Administrative and Support Service Activities
129,Island Electronics (security & Monitoring) Ltd.,17,13,0,0,Administrative and Support Service Activities
130,Good Old Days Restaurant Ltd.,17,7,0,0,Accommodation and Food Service Activities
131,National Cement Ltd.,17,10,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
132,Sandra Jackson T/a Avil Construction,17,13,0,0,Construction
133,Island Recycling Ltd.,17,8,0,0,Water Supply; Sewerage, Waste Management and Remediation Activities
134,Wirl Trading Co Ltd T/a Brandsource Home Gallery,17,10,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
135,Rawlinson & Hunter Limited,17,13,1,100000,Financial and Insurance Activities
136,Cayman Islands Urgent Care; Ltd. T/a Doctors Express,17,5,0,0,Human Health and Social Work Activities
137,Triple C School,16,6,0,0,Education
138,Walkers Professional Services,16,7,2,132500,Financial and Insurance Activities
139,Island Paving (1985) Ltd.,16,4,0,0,Construction
140,Rodney's Ltd,16,8,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
141,West Bay Hospitality Ltd,16,5,0,0,Accommodation and Food Service Activities
142,One Gt Services Limited,16,10,0,0,Real Estate Activities
143,Bacaro Ltd,16,13,0,0,Accommodation and Food Service Activities
144,Otis Air-conditioning Ltd. T/a Otis Air-conditioning Ltd,16,2,0,0,Construction
145,Cayman Cost U Less Ltd,16,10,3,31083,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
146,Brown's Holdings Ltd,16,7,0,0,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
147,TELL-ALL LTD. T/A GRAND OLD HOUSE,16,12,0,0,Accommodation and Food Service Activities
148,Pool Patrol Limited,16,7,0,0,Administrative and Support Service Activities
149,Island Waste Carriers T/a Iwc,15,9,0,0,Water Supply; Sewerage, Waste Management and Remediation Activities
150,Cayman Diving,15,4,0,0,Transportation and Storage
151,Arch And Godfrey (cayman) Ltd.,15,8,0,0,Construction
152,Artex Risk Solutions (cayman) Limited,15,8,0,0,Financial and Insurance Activities
153,Talas Mechanical Industries Ltd. T/a Cayman Mechanical Company,15,7,0,0,Construction
154,Celebrations Group Ltd. T/a Celebrations,15,8,0,0,Administrative and Support Service Activities
155,Watler & Hislop Services Limited T/a Watler & Hislop Services,15,4,0,0,Transportation and Storage
156,Ttrg Ltd,15,13,0,0,Accommodation and Food Service Activities
157,Corporate Electrical Services Ltd T/a Corporate Electric,15,6,0,0,Construction
158,Gustavo Enrique Soto Quezada T/a Soto Development,15,9,0,0,Construction
159,Ctmh Doctors Hospital,15,3,0,0,Human Health and Social Work Activities
160,H&a Group,15,8,0,0,Construction
161,Imagine Cayman Ltd. T/a Sandbar,15,6,0,0,Arts, Entertainment and Recreation
162,Island Air Conditioning & Mechanical Ltd.,15,4,0,0,Construction
163,Encompass Ltd,15,13,2,87500,Construction
164,Digicel Cayman Ltd.,14,7,0,0,Information and Communication
165,Ngu Group Ltd.,14,6,0,0,Professional, Scientfic and Technical Activities
166,Pyramid Sunshine Hotel Services Ltd.,14,14,2,21750,Accommodation and Food Service Activities
167,Tuna Frenzy Ltd.,14,3,0,0,Real Estate Activities
168,Paragon Ltd T/a Paragon Builders,14,4,0,0,Construction
