sOccupation,cJobTitle
399,Distiller Operator (Continuous (Chemical Processes Except Petroleum And Natural Gas))
399,Distiller Operator (Petroleum And Natural Gas Refining)
399,Distiller Operator (Turpentine)
399,Distilling Equipment Operator (Perfume)
150,Distribution Control Operator
23,Distribution Manager
64,District Medical Doctor-Therapist
67,District Nurse
127,District Officer (Social Welfare)
138,Dj
254,Docent
436,Dock Sluiceman
436,Dock Sluicewoman
460,Docker
177,Doctor's Assistant
199,Doctor's Secretary
249,Document Duplication Clerk
122,Documentalist
135,Documentary Director
129,Documentation Writer
301,Dog Breeder
266,Dog Trainer
382,Dolls Toymaker
440,Domestic Charworker
440,Domestic Cleaner
440,Domestic Helper
261,Domestic Housekeeper
440,Domestic Maid
436,Donkey Engine Operator
426,Door Assembler
322,Door Installer
293,Door Keeper
293,Doorkeeper
279,Door-To-Door Canvasser
279,Door-To-Door Salesperson
260,Dormitory Warden
379,Dovetailing Woodworker
379,Dowelling Woodworker
391,Dragline Operator (Mining)
445,Drain Cleaner
329,Drain Installer
329,Drain Layer
329,Drain Technician
92,Drama Coach
92,Drama Teacher (Private Tuition)
80,Drama Therapist
92,Drama Tutor (Private Tuition)
129,Drama Writer
129,Dramatist
145,Draughtsperson
436,Drawbridge Operator
435,Dredge Operator
438,Dredger Crewman
438,Dredger Crewwoman
47,Dredging Engineer
59,Dress Designer
380,Dressmaker
94,Dressmaking Tutor (Private Tuition)
399,Drier Operator (Chemical And Related Processes)
310,Drifter Crewman
310,Drifter Crewwoman
393,Drilling Equipment Operator (Wells)
342,Drilling Machine Setter-Operator (Metal Working)
393,Drilling Plant Operator
393,Drilling Rig Operator
281,Driveway Attendant
267,Driving  Examiner
430,Driving Car Courier
430,Driving Car Deliverer
430,Driving Car Messenger
267,Driving Instructor
267,Driving Tester
430,Driving Van Courier
430,Driving Van Deliverer
430,Driving Van Messenger
340,Drop Forger
340,Drop Hammer Worker
301,Drover
74,Druggist
170,Drugless Treatment Healer
351,Drum Maker
133,Drummer
445,Dry Cleaner (Carpet)
442,Dry Cleaner (Hand)
412,Dry Cleaner (Machine)
436,Dry Dock Attendant
142,Dry Dockmaster (Dock)
326,Dry Wall Plasterer
442,Dry-Cleaning Spotter
221,Dubbing Equipment Operator
302,Duck Farmer
329,Duct Fitter
329,Duct Fixer
329,Duct Installer
433,Dumper Truck Driver
468,Dustman
468,Dustwoman
62,Dvd Author
384,Dyer-Stainer
365,Dynamo Fitter
86,Early Childhood  Educator
393,Earth-Boring Machinery Operator (Construction)
424,Earth-Moving Equipment Assembler
347,Earth-Moving Equipment Fitter
347,Earth-Moving Equipment Mechanic
435,Earthmoving Equipment Operator
453,Earthmoving Labourer
280,Ebay Seller
280,Ebay Trader
44,Ecological Consultant
44,Ecologist
156,Ecology Technician
220,E-Commerce Manager (Managing Website)
123,Econometrician
123,Economic Adviser
123,Economic Analyst
123,Economic Development Consultant
123,Economic Policy Adviser
123,Economist
362,Edge Gilder (Bookbinding)
362,Edge Marbler (Bookbinding)
417,Edge Sawyer
129,Editor
130,Editor-In-Chief
88,Education Adviser
88,Education Adviser (Methods)
88,Education Consultant
88,Education Specialist (Methods)
126,Educational Psychologist
90,Efl Teacher
448,Egg Collector
302,Egg Production Farmer
205,Electoral Official
366,Electric Cable Plumber-Jointer
54,Electric Power Generation Engineer (Except Nuclear)
52,Electric Power Generation Engineer (Nuclear)
150,Electric Power Plant Operator
54,Electric Traction Engineer
425,Electrical Components Assembler
145,Electrical Draughtsperson
54,Electrical Engineer
425,Electrical Equipment Assembler
365,Electrical Equipment Repairer
365,Electrical Equipment Servicer
365,Electrical Fitter
54,Electrical Illumination Engineer
364,Electrical Installation Electrician (Building)
364,Electrical Maintenance Electrician (Building)
365,Electrical Mechanic
388,Electrical Products Inspector
54,Electrical Surveyor
364,Electrician
164,Electrocardiographic Equipment Operator
164,Electrocardiographic Equipment Technician
164,Electroencephalographic Equipment Operator
164,Electroencephalographic Equipment Technician
54,Electromechanical Engineer
425,Electromechanical Equipment Assembler
425,Electronic Components Assembler
425,Electronic Equipment Assembler
368,Electronic Equipment Servicer
360,Electronic Pre-Press Technician
388,Electronic Products Inspector
220,Electronic Publisher (Internet)
145,Electronics Draughtsperson
55,Electronics Engineer
368,Electronics Equipment Repairer
368,Electronics Fitter
368,Electronics Mechanic
397,Electroplater
176,Electrotherapist
360,Electrotype Caster
360,Electrotype Moulder
360,Electrotyper
459,Elephant Driver
427,Elevated Train Driver
436,Elevator Operator (Material-Handling)
238,Eligibility Consultant
238,Eligibility Interviewer
238,Eligibility Specialist
94,Elocution Tutor (Private Tuition)
265,Embalmer
6,Embassy Representative
6,Embassy Secretary
382,Embroiderer
42,Embryologist
179,Emergency Medical Technician
65,Emergency Medicine Specialist
179,Emergency Paramedic
31,Emergency Services Manager
11,Employee Relations Manager
8,Employers' Organization Chairperson
8,Employers' Organization Director-General
8,Employers' Organization President
8,Employers' Organization Secretary-General
192,Employment Agent
102,Employment Consultant
102,Employment Counsellor
102,Employment Interviewer
218,End User Technician (Computing)
65,Endocrinologist
65,Endocrinology Consultant
65,Endocrinology Registrar
73,Endodontist
424,Engine Assembler
49,Engine Designer
54,Engine Designer (Electrical)
347,Engine Fitter (Agricultural And Industrial Machinery)
346,Engine Fitter (Aircraft)
347,Engine Fitter (Marine)
345,Engine Fitter (Motor Vehicle)
347,Engine Fitter (Steam)
424,Engine Installer
346,Engine Mechanic (Aircraft)
347,Engine Mechanic (Diesel (Except Motor Vehicle))
345,Engine Mechanic (Motor Vehicle)
347,Engine Mechanic (Steam)
346,Engine Repairer (Aircraft)
145,Engineering Draughtsperson
143,Engineering Estimator (Chemical)
140,Engineering Estimator (Civil)
141,Engineering Estimator (Electrical)
141,Engineering Estimator (Electronics)
142,Engineering Estimator (Mechanical)
40,Engineering Geologist
145,Engineering Illustrator
106,Engineering Salesperson
142,Engineering Technician (Aeronautics)
142,Engineering Technician (Agricultural (Machinery))
142,Engineering Technician (Air-Conditioning)
142,Engineering Technician (Automotive)
143,Engineering Technician (Chemical Process)
143,Engineering Technician (Chemical)
140,Engineering Technician (Civil)
141,Engineering Technician (Computer Hardware Design)
140,Engineering Technician (Construction)
142,Engineering Technician (Diesel (Engines))
141,Engineering Technician (Electric Illumination)
141,Engineering Technician (Electric Power Transmission)
141,Engineering Technician (Electrical)
141,Engineering Technician (Electronics)
142,Engineering Technician (Gas (Turbines))
142,Engineering Technician (Heating)
142,Engineering Technician (Industrial (Machinery And Tools))
146,Engineering Technician (Industrial Efficiency)
146,Engineering Technician (Industrial Layout)
141,Engineering Technician (Instrumentation)
142,Engineering Technician (Internal Combustion)
142,Engineering Technician (Jet Engine)
142,Engineering Technician (Locomotive (Engines))
142,Engineering Technician (Lubrication)
142,Engineering Technician (Marine)
142,Engineering Technician (Mechanical)
142,Engineering Technician (Mechatronics)
146,Engineering Technician (Methods)
144,Engineering Technician (Mining)
142,Engineering Technician (Motor)
143,Engineering Technician (Natural Gas (Production And Distribution))
142,Engineering Technician (Naval)
142,Engineering Technician (Nuclear Power)
144,Engineering Technician (Petroleum And Natural Gas Extraction)
143,Engineering Technician (Petroleum)
146,Engineering Technician (Planning)
146,Engineering Technician (Production)
222,Engineering Technician (Radar)
222,Engineering Technician (Radio)
142,Engineering Technician (Refrigeration)
146,Engineering Technician (Safety)
141,Engineering Technician (Semiconductors)
142,Engineering Technician (Ship (Construction))
222,Engineering Technician (Signal Systems)
217,Engineering Technician (Systems (Computers))
146,Engineering Technician (Systems (Except Computers))
222,Engineering Technician (Telecommunications)
222,Engineering Technician (Telegraph)
222,Engineering Technician (Telephone)
146,Engineering Technician (Time And Motion Study)
146,Engineering Technician (Value)
146,Engineering Technician (Work Study)
50,Engineering Technologist (Chemical)
47,Engineering Technologist (Civil)
54,Engineering Technologist (Electrical)
55,Engineering Technologist (Electronics)
49,Engineering Technologist (Mechanical)
56,Engineering Technologist (Telecommunications)
50,"Engineering, Chemical Consultant"
90,English As A Second Language Teacher
235,Enquiry Clerk
168,Enrolled Nurse
477,Enterprise Chairperson
477,Enterprise President
138,Entertainment Aerialist
42,Entomologist
8,Environment Protection Organization Chairperson
8,Environment Protection Organization Director-General
8,Environment Protection Organization Secretary-General
44,Environmental Adviser
48,Environmental Analyst
44,Environmental Auditor
44,Environmental Consultant
44,Environmental Coordinator
48,Environmental Engineer
75,Environmental Health Adviser
75,Environmental Health Consultant
75,Environmental Health Officer
44,Environmental Management Adviser
44,Environmental Management Consultant
44,Environmental Management Officer
44,Environmental Officer
44,Environmental Protection Officer
44,Environmental Rehabilitation Officer
48,Environmental Remediation Consultant
48,Environmental Remediation Specialist
44,Environmental Research Scientist
44,Environmental Researcher
44,Environmental Scientist
44,Environmental Toxicologist
44,Environmental Waste Officer
44,Environmentalist
42,Epidemiologist
464,Errand Boy
464,Errand Girl
90,Esl Teacher
129,Essayist
193,Estate Agent
97,Estate Planner
240,Estimating Clerk
124,Ethnologist
133,Ethnomusicologist
131,Etymologist
208,Evangelist
414,Evaporation Equipment Operator (Food Essences)
399,Evaporator Operator (Chemical Processes (Except Petroleum And Natural Gas))
153,Evaporator Operator (Petroleum And Natural Gas)
461,Evening  Filler
461,Evening Fill Assistant
191,Events Coordinator
191,Events Management Consultant
191,Events Manager
191,Events Producer
435,Excavating Machine Driver
435,Excavator Operator
201,Excise Officer
198,Executive Assistant
197,Executive Assistant (Legal)
215,Executive Chef
103,Executive Coach
477,Executive Director
260,Executive Housekeeper
198,Executive Secretary
213,Exhibition Designer
191,Exhibition Organizer
399,Expeller Operator (Chemical And Related Materials)
52,Explosive Ordnance Engineer
190,Export Agent
14,Exports Manager
130,Extempore Commentator
389,Exterminator
51,Extractive Metallurgist
51,Extractive Technologist
399,Extractor Operator (Chemical And Related Materials)
399,Extractor Operator (Wood Distillation)
342,Extruding Machine Setter-Operator (Metal Working)
396,Extrusion Press  Operator
426,Eyeglass Frame Assembler
388,Fabrics Examiner
388,Fabrics Inspector
357,Fabrics Repairer
13,Facilities Management Director
13,Facilities Manager
27,Facility Manager (Aged Care)
28,Facility Manager (Welfare Services)
441,Factory Charworker
441,Factory Cleaner
456,Factory Hand
456,Factory Labourer
456,Factory Machines Cleaner
29,Faculty Head
476,Fairground Attendant
208,Faith Healer
127,Family Counsellor
285,Family Day Care Worker
64,Family Doctor
180,Family Planning Counsellor
207,Family Services  Worker
28,Family Services Manager
127,Family Therapist
157,Farm Demonstrator
459,Farm Equipment Driver (Non-Motorised)
449,Farm Hand
447,Farm Hand (Citrus Fruit)
447,Farm Hand (Cotton Picking)
448,Farm Hand (Dairy)
447,Farm Hand (Field Crops)
447,Farm Hand (Fruit Picking)
448,Farm Hand (Fur-Bearing Animals)
449,Farm Hand (Livestock And Crops)
448,Farm Hand (Livestock)
301,Farm Hand (Milch)
301,Farm Hand (Milking)
449,Farm Hand (Mixed Farming (Livestock And Crops))
447,Farm Hand (Orchard)
448,Farm Hand (Silk Worms)
305,Farm Hand (Skilled (Mixed Livestock And Crops))
447,Farm Hand (Tea Plucking)
449,Farm Helper
449,Farm Labourer
447,Farm Labourer (Cotton)
448,Farm Labourer (Dairy)
447,Farm Labourer (Field Crops)
449,Farm Labourer (Livestock And Crops)
448,Farm Labourer (Livestock)
447,Farm Labourer (Potato Digging)
347,Farm Machinery Mechanic
347,Farm Machinery Repairer
43,Farm Management  Consultant
301,Farm Worker (Skilled (Cattle))
297,Farm Worker (Skilled (Cocoa))
297,Farm Worker (Skilled (Coffee))
296,Farm Worker (Skilled (Cotton))
301,Farm Worker (Skilled (Dairy))
301,Farm Worker (Skilled (Domestic Fur-Bearing Animals))
296,Farm Worker (Skilled (Field Crops))
308,Farm Worker (Skilled (Fish))
296,Farm Worker (Skilled (Flax))
297,Farm Worker (Skilled (Fruit))
296,Farm Worker (Skilled (Groundnut))
297,Farm Worker (Skilled (Grove))
297,Farm Worker (Skilled (Hops))
296,Farm Worker (Skilled (Irrigation))
296,Farm Worker (Skilled (Jute))
301,Farm Worker (Skilled (Livestock))
299,Farm Worker (Skilled (Mixed Crops))
305,Farm Worker (Skilled (Mixed Livestock And Crops))
301,Farm Worker (Skilled (Mixed-Animal Husbandry))
298,Farm Worker (Skilled (Mushroom))
304,Farm Worker (Skilled (Non-Domesticated Fur-Bearing Animals))
298,Farm Worker (Skilled (Nursery))
297,Farm Worker (Skilled (Orchard))
304,Farm Worker (Skilled (Ostrich))
308,Farm Worker (Skilled (Oyster))
301,Farm Worker (Skilled (Pig))
296,Farm Worker (Skilled (Potato))
302,Farm Worker (Skilled (Poultry))
296,Farm Worker (Skilled (Rice))
297,Farm Worker (Skilled (Rubber))
308,Farm Worker (Skilled (Seafood))
301,Farm Worker (Skilled (Sheep))
297,Farm Worker (Skilled (Shrub Crop))
315,Farm Worker (Skilled (Subsistence Farming))
296,Farm Worker (Skilled (Sugar-Beet))
296,Farm Worker (Skilled (Sugar-Cane))
297,Farm Worker (Skilled (Tea))
296,Farm Worker (Skilled (Tobacco))
297,Farm Worker (Skilled (Tree Crop))
296,Farm Worker (Skilled (Vegetables))
297,Farm Worker (Skilled (Vineyard))
296,Farm Worker (Skilled (Wheat))
43,Farming Adviser
340,Farrier
59,Fashion Designer
130,Fashion Editor
277,Fashion Model
212,Fashion Photographer
130,Fashion Reporter
462,Fast Food Chef
462,Fast Food Cook
462,Fast Food Maker
130,Feature Writer
130,Features Editor
361,Feeder Operator (Printing)
70,Feldscher
384,Fellmonger
414,Fermentation Equipment Operator (Spirits)
438,Ferry Hand
253,Ferryboat Conductor
399,Fertiliser Plant Operator
397,Fettler
357,Fibre Bleacher (Textile)
357,Fibre Blender (Textile)
357,Fibre Carder (Textile)
357,Fibre Classer (Textile)
357,Fibre Comber (Textile)
403,Fibre Drawer (Optic)
357,Fibre Drawer (Textile)
357,Fibre Grader (Textile)
357,Fibre Lapper (Textile)
357,Fibre Opener (Textile)
357,Fibre Picker (Textile)
357,Fibre Preparer (Textile)
357,Fibre Rover (Textile)
50,Fibre Technologist
326,Fibrous Plasterer
296,Field Crop (Market Production) Farmer
296,Field Crop Farmer
157,Field Crop Technician
313,Field Farmer (Crop (Subsistence Farming))
313,Field Farmer (Vegetable (Subsistence Farming))
296,Field Grower (Crop)
296,Field Grower (Vegetable)
1,Field Marshal
237,Field Officer (Interviewing)
237,Field Officer (Market Research)
43,Field Service Agent (Agriculture)
296,Field Vegetable Farmer
296,Field Vegetable Farmer ((Market Production))
209,Fighter
290,Fighting Fires Fireman
290,Fighting Fires Firewoman
456,Filament Winder (Hand)
425,Filament Winder (Operating  Machine)
249,Filing Clerk
196,Filing Clerks Supervisor
461,"Filling Shelf, Fridge Or Freezer Refiller"
101,Film Censor
400,Film Developer (Black-And-White)
400,Film Developer (Colour)
400,Film Developer (X-Ray)
135,Film Director
135,Film Editor
400,Film Printer (Photographic)
213,Film Set Decorator
445,Filter Cleaner
152,Filter Operator (Chemical And Related Processes)
399,Filter Operator (Rotary Drum)
151,Filter Operator (Water)
445,Filter Serviceperson
399,Filter-Press Operator (Chemical And Related Materials)
181,Finance Broker
240,Finance Clerk
182,Finance Clerk (Approving Or Assessing Credit Or Loans)
182,Finance Clerk (Processing Credit Applications Or Loans)
10,Finance Director
10,Finance Manager
182,"Finance Officer (Approving, Assessing Or Processing Loans)"
97,Financial Advice Consultant
97,Financial Adviser
182,Financial Analyst (Assessing Credit Worthiness Of Clients)
98,Financial Analyst (Investments)
97,Financial Consultant
96,Financial Controller
130,Financial Editor
96,Financial Liquidator
97,Financial Paraplanner
97,Financial Planner
181,Financial Trader
322,Finish Carpenter
148,Finishing Supervisor
6,Fire Commissioner
290,Fire Fighter
140,Fire Inspector
146,Fire Investigator
140,Fire Prevention Consultant
140,Fire Prevention Specialist
290,Fire Salvageman
290,Fire Salvagewoman
31,Fire Services Manager
319,Firebrick Layer
290,Firefighter
290,Fireman
290,Firewoman
475,Firewood Collector
289,First Aid Attendant
160,First Mate
462,Fish And Chips Cook
371,Fish Boner
371,Fish Curer
371,Fish Cutter
371,Fish Dresser
452,Fish Farm Labourer
308,Fish Farm Manager
308,Fish Farmer
371,Fish Filleter
308,Fish Hatcher
19,Fish Hatchery Manager
371,Fish Pickler
460,Fish Porter
371,Fish Salter
43,Fisheries Adviser
205,Fisheries Inspector
43,Fisheries Management Officer
12,Fisheries Manager (Conservation)
19,Fisheries Manager (Fishing Operations)
12,Fisheries Manager (Policy)
19,Fisheries Manager (Production)
156,Fisheries Technician
452,Fishery Labourer
309,Fishery Worker (Skilled (Coastal Waters))
310,Fishery Worker (Skilled (Deep-Sea))
309,Fishery Worker (Skilled (Inland))
308,Fishery Worker (Skilled (Pisciculture))
309,Fishing Captain (Coastal Waters)
310,Fishing Captain (Deep-Sea)
357,Fishing Net Maker
371,Fishmonger
211,Fitness Instructor
211,Fitness Trainer
335,Flame Cutter
335,Flamecutter
110,Flash Developer
133,Flautist
296,Flax Farmer
371,Flayer
252,Flight Attendant
161,Flight Engineer
1,Flight Lieutenant (Air Force)
161,Flight Navigator
244,Flight Operations Clerk
23,Flight Operations Manager
252,Flight Purser
31,Flight Safety Manager
2,Flight Sergeant
244,Float Master
325,Floor Layer
216,Floor Manager (Broadcasting)
441,Floor Sweeper
325,Floor Tiler
44,Flora And Fauna Management Officer
157,Floriculture Technician
298,Floriculturist
392,Flotation Worker (Mineral Processing)
372,Flour Confectionery Mixer
390,Flower Arranger
298,Flower Grower
161,Flying Instructor
1,Flying Officer (Military)
362,Foil Stamp Operator
396,Foil-Winding Machine Operator
362,Folder Operator (Printing)
50,Food And Drink Technologist
375,Food Grader
462,Food Handler (Fast Food)
270,Food Hawker
460,Food Market Porter
270,Food Pedlar
46,Food Processing Engineer
178,Food Sanitation And Safety Inspector
42,Food Scientist
77,Food Service Dietician
375,Food Taster
371,Foodstuffs Briner
209,Footballer
385,Footwear Cementer (Uppers)
385,Footwear Channeller (Soles)
385,Footwear Cutter
385,Footwear Eyeletter
385,Footwear Finisher
385,Footwear Finishing Taker-Off
385,Footwear Finishing Trimmer
385,Footwear Fitter
385,Footwear Folder (Uppers)
385,Footwear Grader (Soles)
385,Footwear Laster
385,Footwear Maker
356,Footwear Maker (Raffia)
385,Footwear Patternmaker
385,Footwear Polisher
385,Footwear Preparer
385,Footwear Presser (Soles)
385,Footwear Repairer
385,Footwear Rounder
382,Footwear Sewer
385,Footwear Skiver
385,Footwear Socker
385,Footwear Sorter
385,Footwear Splitter
385,Footwear Stainer
385,Footwears Burnisher
89,For The Blind Teacher
89,For The Deaf Teacher
89,For The Dumb Teacher
89,For The Mentally Handicapped Teacher
89,For The Physically Handicapped Teacher
130,Foreign Editor
181,Foreign Exchange Broker
181,Foreign Exchange Dealer
181,Foreign Exchange Trader
65,Forensic Pathologist
146,Forensic Science Technician
43,Forest Engineer
290,Forest Firefighter
290,Forest Fireman
290,Forest Firewoman
290,Forest Patrolman (Fire)
290,Forest Patrolwoman (Fire)
306,Forest Ranger (Cultivating Trees)
158,Forest Survey Technician
306,Forest Woodcutter
306,Forester
43,Forestry  Scientist
43,Forestry Adviser
205,Forestry Inspector
451,Forestry Labourer
434,Forestry Machinery Operator
18,Forestry Manager
306,Forestry Planter
306,Forestry Pruner
306,Forestry Pruner-Trimmer
158,Forestry Technician
158,Forestry Technologist
306,Forestry Worker (Skilled (Charcoal Burning (Traditional Techniques)))
306,Forestry Worker (Skilled (Wood Distillation (Traditional Techniques)))
306,Forestry Worker (Skilled)
340,Forge Driver (Hammer)
340,Forge Smith
340,Forge-Smith
340,Forging Press Worker
437,Forklift Operator
248,Form Filling Clerk (Assistance)
263,Fortune Teller
263,Fortune-Teller
190,Forwarding Agent
51,Foundry Engineer
322,Framer
34,Franchise Director
245,Franking Machine Clerk
464,Free Newspaper Distributor
152,Freezer Operator
242,Freight Clerk
242,Freight Clerk (Dispatching)
242,Freight Clerk (Inward)
244,Freight Clerk (Receiving)
244,Freight Clerk (Routing)
244,Freight Clerk (Shipping)
244,Freight Clerk (Traffic)
460,Freight Handler
460,Freight Unloader
460,Freighthandler
270,Fresh-Water Vendor (Street)
379,Fret-Saw Setter-Operator (Woodworking)
208,Friar
386,Frogman
386,Frogwoman
196,Front Office Manager (Hospital Or School)
435,Front-End Loader Operator
374,Fruit Canner
297,Fruit Farmer
375,Fruit Grader
374,Fruit Juice Maker
374,Fruit Juice Preserver
447,Fruit Picker
374,Fruit Pickler
460,Fruit Porter
374,Fruit Preserver
297,Fruit Tree Budder-Grafter
297,Fruit Tree Grafter
297,Fruit Trees Pruner
50,Fuel Technologist
409,Fulling-Mill Operator (Textiles)
389,Fumigator
191,Function Coordinator
191,Function Organizer
191,Functions Manager
265,Funeral Attendant
265,Funeral Director
476,Fun-Fair Attendant
436,Funicular Driver
436,Funicular Operator
380,Fur Cutter
301,Fur Farmer (Domestic Animals)
304,Fur Farmer (Non-Domesticated Animals)
380,Fur Grader
380,Fur Matcher
380,Fur Nailer
381,Fur Patternmaker
382,Fur Sewer
384,Fur Shaver
380,Fur Sorter
380,Fur Tailor
311,Fur Trapper
311,Fur Trapper-Hunter
380,Fur Trimmer
396,Furnace Charger
419,Furnace Operator (Annealing (Glass))
396,Furnace Operator (Annealing (Metal))
154,Furnace Operator (Blast)
396,Furnace Operator (Case-Hardening (Metal))
399,Furnace Operator (Chemical And Related Processes)
154,Furnace Operator (Converting (Non-Ferrous Metal))
154,Furnace Operator (Converting (Steel))
419,Furnace Operator (Glass Production)
396,Furnace Operator (Hardening (Metal))
396,Furnace Operator (Heat-Treating (Metal))
419,Furnace Operator (Lehr)
154,Furnace Operator (Melting (Metal))
154,Furnace Operator (Metal Smelting (Blast Furnace))
396,Furnace Operator (Puddling)
154,Furnace Operator (Refining (Non-Ferrous Metal))
154,Furnace Operator (Refining (Steel))
151,Furnace Operator (Refuse Disposal)
396,Furnace Operator (Reheating (Metal))
419,Furnace Operator (Smelting (Glass))
154,Furnace Operator (Smelting (Metal))
154,Furnace Operator (Steel Refining (Electric-Arc Furnace))
154,Furnace Operator (Steel Refining (Open-Hearth Furnace))
419,Furnace Operator (Tempering (Glass))
426,Furniture Assembler
378,Furniture Cabinet-Maker
59,Furniture Designer
460,Furniture Loader
356,Furniture Maker (Basketry)
378,Furniture Maker (Cane)
383,Furniture Maker (Soft Furnishing)
356,Furniture Maker (Wicker)
460,Furniture Mover
460,Furniture Remover
383,Furniture Upholsterer
380,Furrier
189,Futures Broker (Commodities)
181,Futures Broker (Financial)
189,Futures Dealer (Commodities)
181,Futures Dealer (Financial)
189,Futures Trader (Commodities)
181,Futures Trader (Financial)
125,Futurologist
214,Gallery Technician
209,Gambler
228,Gambling-Table Croupier
311,Game Beater
304,Game Bird Breeder
110,Game Developer (Computer)
294,Game Warden
266,Gamekeeper
210,Games Coach
294,Gamewarden
228,Gaming Dealer
292,Gaoler
345,Garage Mechanic
468,Garbage Collector
469,Garbage Sorter
433,Garbage Truck Driver
468,Garbage Truck Loader
34,Garden Centre Manager
450,Garden Hand
450,Garden Labourer
450,Garden Maintenance Worker
450,Garden Worker
298,Gardener
450,Gardener's Assistant
298,Gardening Contractor
381,Garment Cutter
59,Garment Designer
381,Garment Marker
381,Garment Patternmaker
380,Garment Tailor (Made-To-Measure)
380,Garment Tailor (Ready-To-Wear)
382,Garments Sewer
329,Gas Fitter
329,Gas Pipe Fitter
153,Gas Plant Operator
150,Gas Plant Operator (Electric Power Generation)
275,Gas Station Attendant (Cashier)
281,Gas Station Attendant (Gas Pump)
49,Gas Turbine Engineer
329,Gasfitter
65,Gastroenterologist
65,Gastroenterology Registrar
362,Gatherer Operator (Printing)
341,Gauge Maker
424,Gearbox Assembler
352,Gem Polisher
352,Gem Setter
40,Gemmologist
352,Gems Cutter-Polisher
125,Genealogist
13,General Manager (Business Services)
36,General Manager (Camping Site)
36,General Manager (Caravan Park)
34,General Manager (Chain Store)
13,General Manager (Cleaning)
22,General Manager (Construction)
34,General Manager (Discount Store)
29,General Manager (Education)
19,General Manager (Fishing)
34,General Manager (Mail-Order Store)
20,General Manager (Manufacturing)
21,General Manager (Operation (Mining))
34,General Manager (Self-Service Store)
34,General Manager (Shop)
23,General Manager (Storage)
23,General Manager (Transport)
36,General Manager (Travel Agency)
34,General Manager (Wholesale Trade)
64,General Medicine Physician
64,General Practice Doctor
64,General Practitioner
150,Generating Station Operator
365,Generator Fitter (Electrical)
150,Generator Operator (Electric Power)
42,Geneticist
42,Genetics Engineer
156,Genetics Technician
40,Geochemist
61,Geodesic Surveyor
61,Geodesist
124,Geographer
40,Geohydrologist
145,Geological Draughtsperson
40,Geological Oceanographer
40,Geologist
139,Geology Technician
40,Geomagnetician
40,Geomorphologist
40,Geophysical Oceanographer
40,Geophysicist
139,Geophysics Technician
40,Geoscientist
47,Geotechnical Engineer
140,Geotechnical Technician
40,Geotechnologist
150,Geo-Thermal Power Plant Operator
65,Geriatrician
65,Geriatrics Registrar
414,Germination Equipment Operator (Malting (Spirits))
40,Glaciologist
354,Glass Bender
354,Glass Beveller
354,Glass Blower
354,Glass Borer
354,Glass Cutter
355,Glass Decorating Sandblaster
354,Glass Driller
354,Glass Edge Grinder
355,Glass Enameller
355,Glass Engraver
355,Glass Engraving Marker
355,Glass Etcher
354,Glass Finisher
354,Glass Gatherer
354,Glass Grinder
354,Glass Ladler
390,Glass Lens Grinder
390,Glass Lens Moulder
354,Glass Moulder
354,Glass Polisher
390,Glass Polisher (Lenses)
354,Glass Sandblasting Froster
355,Glass Sandblasting Waxer
328,Glass Setter (Buildings)
354,Glass Silverer
52,Glass Technologist
354,Glass Worker
328,Glazier
328,Glazing Installer
381,Glove Cutter
381,Gloves Patternmaker
209,Goal Keeper
209,Goalkeeper
301,Goat Farmer
301,Goat Farmer (Market Production)
314,Goat Farmer (Subsistence Farming)
301,Goatherd
314,Goatherd (Subsistence Farming)
352,Gold Beater
391,Gold Miner
392,Gold Precipitator
352,Gold Smith
352,Goldsmith
472,Golf Caddie
210,Golf Trainer
209,Golfer
242,Goods Clerk (Inward)
244,Goods Clerk (Railway)
460,Goods-Loading Porter
302,Goose Farmer
6,Government Administration Director-General
6,Government Administration Secretary-General
6,Government Administrator
101,Government Censor
5,Government Chancellor
5,Government Chief Minister
5,Government Councillor
6,Government Department Director-General
6,Government Department Head
205,Government Inspector (Administration)
5,Government Minister
6,Government Paymaster-General
6,Government Postmaster-General
5,Government President
6,Government Registrar-General
6,Government Secretary (Senior Official)
6,Government Under-Secretary
5,Government Whip
5,Governor-General
380,Gown Maker
435,Grader And Scraper Operator (Construction)
445,Graffiti Cleaner
445,Graffiti Removal Hydroblaster
445,Graffiti Removalist
445,Graffiti Remover
296,Grain Farmer
296,Grain Farmer (Market Production)
313,Grain Farmer (Subsistence Farming)
320,Granite Cutter
320,Granite Polisher
399,Granulation Equipment Operator (Pharmaceutical And Toiletry Products)
297,Grape Grower
132,Graphic Artist
62,Graphic Designer
131,Graphologist
435,Grave Digger (Earthmoving Equipment)
453,Grave Digger (Hand-Held Tools)
142,Graving Dockmaster (Dock)
392,Gravitation Equipment Operator (Mine)
301,Grazier
298,Green Keeper
298,Greenhouse Worker (Skilled)
298,Greenkeeper
450,Greenkeeper's Assistant
416,Grinder Operator (Pulp And Paper)
414,Grinding Equipment Operator (Sugar-Cane)
342,Grinding Machine Setter-Operator (Metal Working)
338,Grip
272,Grocer
461,"Grocery Assistant (Filling Shelf, Fridge Or Freezer)"
34,Grocery Manager
296,Groundnut Farmer
296,Groundnut Farmer (Market Production)
313,Groundnut Farmer (Subsistence Farming)
298,Groundsman
298,Groundswoman
1,Group Captain (Air Force)
186,Group Insurance Agent
43,Grower's Adviser
261,Guest House Operator
32,Guest-House Manager
91,Guitar Teacher (Private Tuition)
133,Guitarist
