sOccupation,cJobTitle
128,Archbishop
128,Archdeacon
145,Architectural Draughtsperson
212,Architecture Photographer
31,Archives Manager
121,Archivist
148,Area Coordinator (Manufacturing)
425,Armature Assembler
365,Armature Builder
456,Armature Winder (Hand)
425,Armature Winder (Operating  Machine)
213,Armorial Designer
3,Armoured Fighting Vehicle Crewman
3,Armoured Fighting Vehicle Crewwoman
3,Armoured Personnel Carrier Crewman
3,Armoured Personnel Carrier Crewwoman
1,Army Brigadier
1,Army Captain
1,Army Colonel
3,Army Commando
3,Army Corporal
1,Army General
3,Army Infantryman
3,Army Infantrywoman
1,Army Lieutenant
1,Army Lieutenant Colonel
1,Army Lieutenant General
1,Army Major
1,Army Major General
3,Army Mortarman
3,Army Mortarwoman
1,Army Officer
3,Army Sapper
2,Army Sergeant
390,Arranging Flowers Florist
130,Art Critic
194,Art Dealer
121,Art Gallery Curator
293,Art Gallery Guard
254,Art Gallery Guide
31,Art Gallery Manager
92,Art Tutor (Private Tuition)
357,Artificial Flower Maker
171,Artificial Inseminator
167,Artificial Limb Fitter
167,Artificial Limb Maker
136,Artist Mime
135,Artistic Director
132,Artistic Engraver-Etcher
132,Artistic Painter
328,Artistic Setter (Glass)
132,Artist-Painter
277,Artist's Model
80,Arts Therapist
396,Asbestos  Dryer
324,Asphalt Roofer
51,Assayer
148,Assembly Supervisor
148,Assembly Supervisor (Electrical Products)
148,Assembly Supervisor (Electronic Products)
148,Assembly Supervisor (Mechanical Products)
148,Assembly Supervisor (Metal Products)
148,Assembly Supervisor (Paperboard Products)
148,Assembly Supervisor (Plastic Products)
148,Assembly Supervisor (Rubber Products)
148,Assembly Supervisor (Textile Products)
148,Assembly Supervisor (Wood Products)
155,Assembly-Line Operator (Automated)
427,Assistant Driver (Railway-Engine)
427,Assistant Driver (Train)
169,Assistant Midwife
168,Assistant Nurse
207,Associate Professional Almoner
207,Associate Professional Caseworker
207,Associate Professional Housefather
207,Associate Professional Housemaster (Approved School)
207,Associate Professional Housemistress (Approved School)
207,Associate Professional Housemother
169,Associate Professional Midwife
168,Associate Professional Nurse
169,Associate Professional Nurse (Maternity)
169,Associate Professional Nurse (Obstetrics)
301,Astrakhan Farmer
263,Astrologer
161,Astronaut
37,Astronomer
139,Astronomy Technician
37,Astrophysicist
209,Athlete
210,Athletic Coach
118,Attorney
239,Auction Clerk
194,Auctioneer
221,Audio Equipment Operator (Radio)
221,Audio Equipment Operator (Television)
78,Audiologist
164,Audiometric Equipment Operator
164,Audiometric Equipment Technician
78,Audiometrist
425,Audio-Visual Equipment Assembler
368,Audio-Visual Equipment Mechanic
368,Audio-Visual Equipment Repairer
368,Audio-Visual Equipment Servicer
221,Audiovisual Operator
88,Audio-Visual Specialist (Teaching Aids)
240,Audit Clerk
96,Audit Consultant
96,Audit Examiner
96,Audit Officer
10,Auditing Firm Manager
96,Auditor
129,Author
399,Autoclave Operator (Chemical And Related Processes)
414,Autoclave Operator (Fruit And Vegetables)
414,Autoclave Operator (Meat And Fish)
414,Autoclave Operator (Oils And Fats)
328,Autoglazier
155,Automated Assembly Line Operator
148,Automated Assembly Line Supervisor
368,Automated Teller Machines Mechanic
274,Automobile Leasing Representative
345,Automobile Mechanic
332,Automobile Painter
209,Automobile Racer
274,Automobile Salesperson
345,Automobile Transmission Mechanic
345,Automotive Brakes Systems Service Technician
365,Automotive Electrician
49,Automotive Engineer
82,Automotive Technology Instructor
266,Aviary Keeper
346,Aviation Maintenance Technician
368,Avionics Mechanic
368,Avionics Technician
382,Awning Maker
451,Axeman
451,Axewoman
170,Ayurvedic Technician
69,Ayuverdic Practitioner
285,Baby Sitter
285,Babysitter
371,Bacon Curer
42,Bacteriologist
156,Bacteriology Technician
460,Baggage Handler
206,Bailiff
372,Baker
434,Baler Operator (Farm)
134,Ballerina
134,Ballet Arranger
134,Ballet Dancer
37,Ballistician
134,Ballroom Dancer
133,Band Conductor
133,Band Leader
133,Bandmaster
227,Bank Assistant
227,Bank Cashier
227,Bank Clerk
30,Bank Director
182,Bank Lending Officer
30,Bank Manager
182,Bank Officer (Loans Or Lending)
227,Bank Teller
10,Banker
96,Bankruptcy Assignee
96,Bankruptcy Examiner
96,Bankruptcy Receiver
96,Bankruptcy Trustee
257,Bar Attendant (Drinks Service)
282,Bar Attendant (Food Service)
258,Barber
322,Barge Builder (Wooden)
438,Barge Operator
257,Barista
133,Baritone
257,Barkeeper
417,Barker Operator
257,Barmaid
257,Barman
350,Barometer Maker
378,Barrel Maker
118,Barrister
206,Barrister's Assistant
257,Bartender
356,Basket Maker
356,Basket Weaver
133,Bassoonist
259,Bath Attendant
302,Battery Farmer
294,Beach Guard
294,Beach Patrolman
294,Beach Patrolwoman
452,Beachcomber
416,Beater Operator (Paper Pulp)
259,Beautician
259,Beauty Consultant
259,Beauty Therapist
261,Bed And Breakfast Operator
383,Bedding Maker
301,Beef Cattle Stockman
301,Beef Cattle Stockwoman
303,Beekeeper
303,Beekeeping Farmer
303,Beekeeping Worker (Skilled)
472,Bell Boy
133,Bell Ringer
472,Bellboy
472,Bellgirl
472,Bellhop
133,Bell-Ringer
424,Bench Fitter (Trucks)
127,Bereavement Counsellor
380,Bespoke Tailor
475,Bhishti
122,Bibliographer
426,Bicycle Assembler
458,Bicycle Courier
458,Bicycle Deliverer
348,Bicycle Mechanic
458,Bicycle Messenger
209,Bicycle Racer
348,Bicycle Repairer
458,Bicycle Rider
209,Bicycle Rider (Racing)
230,Bill And Account Collector
476,Bill Poster
476,Bill Sticker
323,Billboard Erector
396,Billet  Heater
35,Billiards Hall Manager
210,Billiards Instructor
476,Billposter
230,Bills Clerk
476,Billsticker
42,Biochemist
156,Biochemistry Technician
129,Biographer
42,Biologist
156,Biology Technician
52,Biomedical Engineer
42,Biomedical Researcher
41,Biometrician
42,Biophysicist
156,Biophysics Technician
41,Biostatistician
42,Biotechnologist
304,Bird Breeder
294,Bird Sanctuary Warden
287,Birth Assistant (Clinic Or Hospital)
288,Birth Assistant (Home)
287,Birth Attendant (Clinic Or Hospital)
288,Birth Attendant (Home Birth)
372,Biscuit Baker
372,Biscuit Maker
128,Bishop
109,Bitcoin Engineer
340,Black Smith
340,Blacksmith
456,Blacksmith's Striker
387,Blaster
399,Bleacher Operator (Chemicals)
416,Bleacher Operator (Paper)
153,Blender Operator (Petroleum And Natural Gas Refining)
80,Blind Therapist
319,Block Layer
325,Block Layer (Wood)
361,Block Printer
109,Blockchain Engineer
319,Blocklayer
130,Blogger
165,Blood-Bank Technician
380,Blouse Maker
311,Blubber Stripper
477,Board Member
32,Boarding House Manager
322,Boat Builder (Wood)
443,Boat Detailer
460,Boat Loader
436,Boat Operator (Derrick)
438,Boatman
438,Boatswain
438,Boatwoman
357,Bobbin Stripper
216,Body Artist
209,Body Builder (Muslces)
336,Body Builder (Vehicle (Metal))
378,Body Builder (Vehicle (Wooden))
293,Body Guard
216,Body Painter
293,Bodyguard
391,Bogger Operator
336,Boiler Maker
399,Boiler Operator (Chemical And Related Processes)
420,Boiler Operator (Locomotive)
416,Boiler Operator (Paper Pulp)
420,Boiler Operator (Ships')
420,Boiler Plant Fireman
420,Boiler Plant Firewoman
420,Boiler Plant Operator (Steam)
420,Boiler Tender
336,Boilermaker
336,Boilersmith
3,Bombardier
98,Bond Analyst
240,Bond Clerk
181,Bond Dealer
181,Bond Salesperson
181,Bond Trader
170,Bone Setter
170,Bonesetter
128,Bonze
362,Book Binder
129,Book Editor
362,Book Embosser
362,Book Finisher
362,Bookbinder
362,Bookbinding  Sewer
362,Bookbinding Collator
362,Bookbinding Forwarder
231,Booking Agent (Travel)
275,Booking-Office Cashier
231,Bookings Clerk (Travel)
183,Bookkeeper
239,Bookkeeping Clerk
225,Bookkeeping Machine Clerk
225,Bookkeeping Machine Operator
245,Book-Loan Clerk
228,Bookmaker
228,Bookmaking Clerk
200,Border Guard
200,Border Inspector
393,Bore Sinker
393,Boring Equipment Operator (Wells)
342,Boring Machine Setter-Operator (Metal Working)
42,Botanist
156,Botany Technician
421,Bottle Filler
456,Bottle Sorter
293,Bouncer
426,Box Builder
209,Boxer
210,Boxing Trainer
275,Box-Office Cashier
167,Brace Maker (Orthopaedic)
357,Braid Maker
360,Braille Plate Maker
30,Branch Manager (Bank)
30,Branch Manager (Building Society)
30,Branch Manager (Credit Union)
30,Branch Manager (Financial Institution)
30,Branch Manager (Insurance Company)
335,Brazier
372,Bread Baker
372,Bread Dough Mixer
392,Breaker Operator (Gyratory)
50,Brewing Technologist
353,Brick And Tile Moulder
319,Brick Layer
319,Brick Mason
319,Brickie
319,Bricklayer
454,Bricklayer's Assistant
454,Bricklayer's Mate
319,Brickmason
454,Bricks Carrier
210,Bridge Instructor
436,Bridge Operator
210,Bridge Teacher
56,Broadcast Engineer
221,Broadcasting Equipment Operator
221,Broadcasting Technician
240,Brokerage Clerk
240,Broker's Assistant
356,Broom Maker
208,Brother
356,Brush Maker
331,Brush Painter (Construction)
355,Brush Painter (Except Construction)
10,Budgeting Director
10,Budgeting Manager
454,Builder's Labourer
454,Builder's Mate
57,Building Architect
262,Building Caretaker
262,Building Concierge
454,Building Construction Stacker
149,Building Construction Supervisor
22,Building Contractor (Project Management)
149,Building Coordinator (Construction)
364,Building Electrician
333,Building Exteriors Blaster Sand
333,Building Exteriors Cleaner
333,Building Exteriors Sandblaster
140,Building Inspector
364,Building Maintenance Electrician
149,Building Operations Supervisor
331,Building Painter
203,Building Permit Officer (Licensing)
149,Building Project Supervisor
318,Building Repairer
364,Building Repairs Electrician
149,Building Site Manager
149,Building Site Supervisor
30,Building Society Manager
47,Building Structure Engineer
262,Building Superintendent
140,Building Surveyor
47,Building Technologist (Materials)
323,Building Wrecker
331,Buildings Painter-Decorator
298,Bulbs Grower (Nursery)
435,Bulldozer Driver
435,Bulldozer Operator
340,Bulldozer Smith
462,Burger Maker
399,Burner Operator (Charcoal Production)
399,Burner Operator (Chemical And Related Processes)
399,Burner Operator (Coke Production)
96,Bursar
441,Bus Cleaner
253,Bus Conductor
432,Bus Driver
345,Bus Mechanic
23,Bus Station Manager
123,Business Analyst (Economics)
108,Business Analyst (IT)
108,Business Analyst (Systems Design)
112,Business Analyst (Testing Software)
108,Business Architect (Business Analysis)
100,Business Consultant
108,Business Consultant (Information Technology)
16,Business Development Director (Except ICT)
107,Business Development Manager (ICT)
100,Business Efficiency Specialist
368,Business Machine Mechanic (Electronic)
203,Business Permit Officer (Licensing)
12,Business Planning Manager
108,Business Process Engineer (Information Technology)
194,Business Services Salesperson
108,Business Solutions Architect
371,Butcher
261,Butler
373,Butter Maker
188,Buyer
188,Buying Merchandiser
430,Cab Driver
252,Cabin Attendant
252,Cabin Steward
252,Cabin Stewardess
461,"Cabinet Assistant (Supermarket (Filling Shelf, Fridge Or Freezer))"
378,Cabinet Maker
378,Cabinet-Maker
338,Cable And Rope Splicer
253,Cable Car Conductor
436,Cable Car Operator
369,Cable Jointer (Data)
366,Cable Jointer (Electric)
369,Cable Jointer (Telecommunications)
369,Cable Jointer (Telegraph)
369,Cable Jointer (Telephone)
436,Cable Railway Driver
436,Cable Railway Operator
338,Cable Spinner-Squeezer
338,Cable Worker (Bridge)
369,Cable Worker (Data)
366,Cable Worker (Electric Power (Overhead Cables))
366,Cable Worker (Electric Power (Underground Cables))
366,Cable Worker (Electric Traction (Overhead Cables))
338,Cable Worker (Suspension Bridge)
369,Cable Worker (Telecommunications)
369,Cable Worker (Telegraph)
369,Cable Worker (Telephone)
438,Cable-Ship Hand
145,Cad Draughtsperson
61,Cadastral Surveyor
1,Cadet Officer (Armed Forces)
70,Caesarean Section Technician
33,Café Manager
436,Cage Driver (Mine)
436,Cage Operator (Mine)
372,Cake Decorator
399,Calciner Operator (Chemical And Related Processes)
225,Calculating Machine Clerk
368,Calculating Machine Mechanic (Electronic)
225,Calculating Machine Operator
416,Calender Operator (Pulp And Paper)
402,Calender Operator (Rubber)
409,Calender Operator (Textiles)
232,Call Centre Assistant
232,Call Centre Clerk
232,Call Centre Coach
232,Call Centre Operator
280,Call Centre Operator (Cold Calling)
237,Call Centre Operator (Conducting Surveys)
280,Call Centre Operator (Outbound Calls)
280,Call Centre Salesperson
196,Call Centre Supervisor
196,Call Centre Team Manager
196,Call Centre Workforce Planner
355,Calligrapher
94,Calligraphy Tutor
221,Camera Operator (Motion Picture)
360,Camera Operator (Printing)
212,Camera Operator (Still Photography)
